winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,winner_position
0,96,114,115,136,0,"[11, 0, 0, 15]","[12, 0, 13, 0]","[14, 0, 0, 0]","[12, 0, 12, 0]","[0, 0, 12, 11]","[10, 0, 12, 11]","[11, 0, 0, 0]","[0, 10, 0, 0]","[10, 11, 0, 11]","[0, 10, 10, 10]","[10, 10, 10, 0]","[0, 10, 10, 0]","[10, 0, 10, 11]","[11, 10, 0, 0]","[0, 0, 10, 0]","[0, 11, 0, 10]","[0, 10, 15, 12]","[12, 0, 0, 12]","[13, 14, 0, 12]",4
2,77,138,113,131,1,"[11, 0, 0, 13]","[0, 13, 14, 12]","[10, 0, 13, 13]","[11, 0, 11, 13]","[11, 0, 0, 0]","[0, 0, 0, 11]","[10, 0, 0, 0]","[13, 10, 10, 0]","[10, 0, 11, 11]","[0, 10, 10, 10]","[11, 0, 10, 10]","[11, 10, 12, 0]","[10, 10, 0, 10]","[0, 11, 12, 10]","[11, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 12, 0]","[0, 0, 12, 0]","[12, 13, 11, 0]",1
1,162,115,125,89,2,"[12, 13, 14, 0]","[0, 0, 0, 0]","[0, 12, 10, 14]","[10, 12, 0, 13]","[10, 13, 11, 0]","[11, 11, 0, 0]","[10, 10, 13, 0]","[0, 12, 10, 10]","[0, 0, 0, 10]","[10, 11, 10, 0]","[0, 10, 0, 10]","[0, 0, 0, 10]","[0, 0, 11, 10]","[0, 11, 0, 11]","[0, 11, 11, 13]","[14, 11, 0, 12]","[0, 0, 13, 12]","[12, 13, 12, 0]","[0, 12, 0, 0]",3
3,140,99,161,151,3,"[0, 14, 13, 13]","[12, 14, 0, 10]","[10, 0, 0, 12]","[11, 11, 11, 0]","[10, 13, 0, 11]","[13, 11, 0, 11]","[0, 0, 0, 0]","[10, 0, 10, 10]","[11, 10, 11, 0]","[10, 10, 0, 11]","[10, 0, 11, 10]","[10, 10, 0, 0]","[10, 0, 10, 11]","[11, 11, 0, 11]","[12, 12, 0, 11]","[11, 11, 0, 12]","[0, 13, 10, 15]","[0, 0, 12, 0]","[0, 0, 11, 13]",4
1,142,118,135,118,0,"[0, 0, 12, 0]","[0, 12, 11, 0]","[13, 10, 0, 11]","[11, 11, 13, 0]","[10, 0, 13, 11]","[10, 0, 0, 11]","[12, 10, 0, 0]","[10, 11, 0, 11]","[0, 10, 10, 12]","[11, 0, 10, 10]","[0, 10, 0, 10]","[0, 0, 10, 0]","[0, 10, 0, 12]","[11, 11, 0, 11]","[10, 12, 0, 12]","[10, 12, 15, 0]","[0, 0, 12, 12]","[0, 13, 12, 12]","[10, 10, 0, 0]",1
1,173,66,123,144,1,"[0, 12, 0, 14]","[0, 11, 0, 0]","[11, 0, 0, 0]","[0, 12, 12, 0]","[10, 11, 0, 0]","[12, 10, 11, 0]","[10, 11, 0, 13]","[0, 0, 10, 10]","[11, 0, 11, 10]","[10, 11, 0, 10]","[10, 10, 0, 11]","[10, 11, 0, 11]","[11, 13, 0, 10]","[11, 12, 0, 0]","[0, 0, 0, 12]","[12, 11, 12, 0]","[12, 15, 0, 0]","[0, 10, 10, 11]","[14, 13, 0, 11]",4
2,143,161,103,154,2,"[0, 11, 12, 13]","[13, 11, 0, 12]","[0, 11, 14, 0]","[12, 0, 11, 0]","[13, 10, 11, 0]","[11, 11, 0, 0]","[0, 0, 11, 10]","[11, 10, 10, 0]","[10, 0, 10, 10]","[10, 10, 11, 0]","[0, 11, 11, 10]","[11, 0, 11, 10]","[10, 0, 11, 13]","[10, 11, 0, 14]","[11, 12, 0, 11]","[0, 0, 11, 0]","[12, 11, 13, 0]","[10, 12, 14, 0]","[10, 12, 0, 0]",4
3,134,141,156,123,3,"[13, 10, 0, 14]","[12, 12, 0, 11]","[13, 0, 11, 12]","[10, 0, 14, 12]","[0, 0, 12, 10]","[11, 10, 0, 13]","[10, 0, 0, 11]","[11, 11, 0, 10]","[10, 11, 10, 0]","[0, 10, 11, 10]","[12, 0, 10, 10]","[11, 11, 0, 10]","[0, 11, 11, 11]","[0, 0, 12, 0]","[0, 12, 11, 12]","[0, 13, 11, 0]","[10, 11, 14, 0]","[0, 0, 14, 0]","[0, 12, 0, 10]",4
2,98,134,133,98,0,"[0, 0, 0, 12]","[10, 0, 0, 0]","[0, 0, 10, 11]","[12, 11, 12, 0]","[13, 11, 12, 0]","[11, 0, 10, 0]","[10, 10, 0, 10]","[0, 10, 0, 0]","[10, 10, 10, 0]","[11, 0, 10, 10]","[0, 10, 10, 10]","[0, 0, 0, 10]","[0, 11, 0, 0]","[10, 0, 13, 10]","[0, 0, 10, 11]","[11, 0, 10, 13]","[0, 13, 13, 11]","[0, 0, 0, 12]","[0, 12, 14, 13]",2
0,111,102,103,161,1,"[12, 0, 13, 0]","[0, 0, 0, 0]","[0, 0, 12, 10]","[12, 0, 0, 0]","[11, 11, 0, 11]","[13, 0, 0, 0]","[0, 13, 10, 10]","[10, 10, 0, 10]","[11, 0, 11, 10]","[10, 10, 0, 10]","[0, 10, 11, 10]","[13, 10, 10, 0]","[11, 11, 0, 11]","[10, 0, 14, 11]","[13, 0, 0, 10]","[11, 12, 0, 0]","[0, 12, 0, 0]","[12, 12, 11, 0]","[12, 0, 10, 0]",3
1,144,122,128,117,2,"[13, 14, 0, 13]","[0, 0, 11, 0]","[0, 0, 0, 11]","[10, 0, 13, 13]","[10, 0, 12, 12]","[12, 10, 0, 11]","[0, 11, 11, 10]","[0, 10, 0, 0]","[11, 10, 11, 0]","[0, 10, 10, 10]","[0, 0, 10, 0]","[10, 10, 11, 0]","[0, 11, 0, 0]","[11, 13, 10, 0]","[13, 11, 12, 0]","[12, 10, 0, 14]","[0, 13, 0, 10]","[0, 11, 11, 12]","[15, 0, 0, 12]",3
3,122,89,163,125,3,"[13, 11, 0, 12]","[14, 13, 11, 0]","[0, 0, 12, 12]","[11, 0, 11, 12]","[0, 12, 0, 11]","[0, 10, 0, 10]","[0, 0, 0, 10]","[0, 10, 0, 12]","[11, 10, 11, 0]","[10, 0, 10, 10]","[10, 0, 10, 11]","[10, 0, 0, 0]","[0, 10, 0, 10]","[0, 0, 12, 0]","[0, 11, 0, 11]","[11, 12, 0, 12]","[12, 12, 0, 0]","[13, 11, 0, 14]","[10, 0, 12, 16]",4
2,109,150,122,133,0,"[0, 15, 12, 10]","[0, 0, 0, 0]","[11, 14, 0, 12]","[0, 13, 10, 0]","[10, 0, 11, 0]","[11, 0, 11, 11]","[11, 0, 10, 10]","[11, 0, 10, 11]","[0, 10, 11, 10]","[10, 0, 10, 11]","[10, 0, 10, 11]","[11, 10, 10, 0]","[13, 0, 10, 0]","[10, 0, 0, 12]","[0, 10, 0, 0]","[13, 11, 11, 0]","[0, 12, 0, 0]","[12, 0, 13, 11]","[0, 14, 11, 13]",2
2,134,155,120,137,1,"[0, 0, 12, 11]","[0, 12, 14, 0]","[12, 12, 0, 0]","[14, 0, 11, 0]","[0, 14, 10, 11]","[11, 0, 11, 10]","[10, 12, 0, 0]","[13, 10, 10, 0]","[0, 10, 10, 11]","[10, 10, 10, 0]","[10, 0, 10, 10]","[0, 0, 10, 0]","[11, 13, 0, 10]","[10, 12, 0, 11]","[12, 0, 11, 11]","[13, 0, 10, 11]","[0, 0, 14, 11]","[0, 13, 12, 13]","[11, 16, 0, 0]",1
3,89,126,176,154,2,"[0, 0, 0, 11]","[14, 0, 12, 11]","[12, 0, 15, 10]","[13, 0, 12, 12]","[0, 0, 14, 11]","[0, 11, 10, 13]","[13, 10, 11, 0]","[11, 0, 11, 10]","[10, 0, 10, 10]","[10, 11, 10, 0]","[10, 0, 10, 10]","[11, 10, 0, 10]","[13, 11, 0, 10]","[11, 11, 0, 13]","[0, 0, 0, 12]","[0, 0, 0, 10]","[13, 0, 11, 11]","[13, 12, 0, 12]","[0, 13, 0, 0]",1
2,134,154,111,116,3,"[0, 13, 12, 11]","[11, 0, 12, 0]","[0, 11, 13, 12]","[13, 11, 0, 11]","[0, 0, 11, 0]","[0, 11, 10, 13]","[12, 10, 0, 10]","[10, 0, 13, 10]","[0, 10, 11, 11]","[11, 10, 10, 0]","[10, 11, 11, 0]","[10, 0, 10, 0]","[0, 12, 0, 0]","[0, 12, 11, 10]","[0, 12, 10, 11]","[0, 0, 10, 0]","[12, 11, 0, 0]","[11, 0, 10, 12]","[16, 0, 0, 0]",3
0,122,98,138,180,0,"[0, 0, 0, 13]","[12, 0, 11, 13]","[0, 13, 0, 0]","[11, 14, 0, 0]","[11, 0, 10, 12]","[12, 11, 0, 0]","[10, 0, 13, 11]","[11, 10, 11, 0]","[11, 10, 0, 10]","[0, 10, 10, 10]","[10, 10, 0, 0]","[10, 0, 11, 10]","[12, 10, 11, 0]","[11, 12, 0, 11]","[10, 0, 11, 0]","[10, 0, 0, 13]","[11, 11, 0, 12]","[15, 11, 0, 11]","[13, 0, 10, 12]",4
0,158,126,90,171,1,"[16, 10, 0, 11]","[11, 15, 0, 12]","[12, 12, 11, 0]","[11, 0, 13, 11]","[11, 0, 12, 11]","[10, 11, 12, 0]","[0, 10, 0, 0]","[13, 10, 10, 0]","[11, 0, 10, 10]","[10, 10, 0, 11]","[0, 10, 0, 0]","[13, 10, 10, 0]","[12, 11, 0, 10]","[0, 0, 11, 0]","[0, 0, 12, 0]","[10, 13, 11, 0]","[10, 13, 0, 14]","[10, 11, 14, 0]","[11, 12, 0, 0]",3
3,101,109,150,149,2,"[0, 17, 12, 11]","[0, 0, 11, 11]","[11, 0, 11, 0]","[11, 0, 0, 12]","[13, 10, 0, 12]","[10, 12, 11, 0]","[0, 0, 12, 0]","[11, 10, 0, 10]","[10, 0, 10, 11]","[10, 11, 10, 0]","[0, 10, 11, 10]","[11, 0, 0, 0]","[12, 11, 0, 10]","[0, 0, 0, 13]","[11, 10, 0, 12]","[0, 10, 11, 13]","[13, 0, 10, 14]","[11, 0, 0, 0]","[15, 0, 0, 11]",1
0,75,118,148,170,3,"[12, 0, 10, 13]","[11, 11, 0, 0]","[0, 0, 10, 0]","[0, 13, 0, 0]","[11, 0, 0, 11]","[11, 0, 10, 12]","[10, 0, 12, 10]","[11, 10, 0, 12]","[10, 10, 0, 12]","[0, 10, 10, 11]","[10, 0, 11, 11]","[0, 0, 10, 10]","[10, 10, 13, 0]","[10, 0, 11, 10]","[11, 0, 0, 0]","[12, 0, 10, 11]","[14, 11, 0, 12]","[16, 0, 11, 0]","[11, 0, 0, 13]",1
0,124,89,121,149,0,"[0, 12, 12, 12]","[15, 0, 0, 13]","[10, 12, 0, 0]","[0, 0, 0, 11]","[10, 11, 0, 12]","[0, 0, 0, 0]","[0, 11, 11, 11]","[0, 0, 10, 10]","[10, 12, 0, 10]","[10, 10, 0, 10]","[10, 0, 0, 0]","[10, 0, 11, 0]","[12, 10, 0, 10]","[10, 12, 0, 10]","[12, 0, 0, 0]","[14, 11, 11, 0]","[13, 12, 12, 0]","[13, 0, 12, 12]","[0, 11, 10, 0]",4
3,128,122,158,99,1,"[11, 11, 12, 0]","[0, 11, 0, 15]","[0, 11, 11, 11]","[0, 11, 11, 11]","[0, 0, 12, 0]","[0, 0, 10, 10]","[11, 12, 10, 0]","[12, 10, 0, 11]","[11, 10, 0, 10]","[10, 11, 0, 10]","[0, 10, 10, 10]","[10, 0, 11, 11]","[0, 10, 12, 11]","[12, 11, 0, 11]","[12, 0, 0, 0]","[0, 0, 0, 15]","[0, 0, 12, 10]","[0, 10, 0, 0]","[10, 0, 11, 12]",2
2,139,145,96,133,2,"[12, 11, 10, 0]","[13, 0, 10, 11]","[11, 13, 13, 0]","[0, 0, 11, 0]","[12, 11, 0, 0]","[10, 11, 0, 0]","[10, 0, 11, 12]","[0, 13, 10, 10]","[10, 10, 0, 10]","[10, 0, 10, 10]","[0, 10, 10, 11]","[10, 11, 0, 10]","[12, 10, 11, 0]","[0, 0, 13, 0]","[11, 0, 0, 0]","[0, 14, 12, 11]","[12, 14, 10, 0]","[0, 0, 0, 0]","[0, 11, 14, 11]",4
1,153,136,84,100,3,"[12, 0, 0, 0]","[0, 0, 15, 11]","[0, 0, 12, 0]","[0, 15, 10, 0]","[0, 15, 10, 10]","[0, 11, 10, 0]","[0, 11, 0, 11]","[11, 10, 12, 0]","[11, 10, 11, 0]","[10, 0, 10, 10]","[0, 0, 0, 10]","[11, 10, 0, 10]","[10, 12, 12, 0]","[0, 12, 10, 0]","[12, 0, 0, 0]","[11, 13, 13, 0]","[12, 12, 0, 11]","[0, 11, 0, 11]","[0, 11, 11, 0]",2
1,167,133,79,154,0,"[12, 12, 12, 0]","[12, 12, 12, 0]","[0, 13, 12, 11]","[13, 13, 0, 0]","[0, 12, 0, 0]","[11, 0, 11, 11]","[11, 12, 0, 11]","[10, 13, 10, 0]","[11, 10, 0, 10]","[10, 0, 10, 11]","[10, 11, 11, 0]","[10, 11, 11, 0]","[10, 0, 0, 0]","[0, 0, 11, 0]","[10, 0, 11, 12]","[14, 10, 10, 0]","[10, 11, 0, 0]","[0, 12, 12, 13]","[0, 15, 0, 0]",1
1,146,139,134,126,1,"[0, 0, 13, 11]","[0, 13, 11, 12]","[13, 0, 12, 0]","[0, 12, 13, 12]","[11, 10, 11, 0]","[12, 0, 0, 0]","[10, 13, 0, 0]","[12, 10, 0, 11]","[0, 10, 11, 10]","[10, 0, 10, 10]","[10, 11, 0, 11]","[0, 11, 10, 10]","[0, 0, 0, 11]","[11, 11, 10, 0]","[12, 10, 14, 0]","[12, 12, 0, 11]","[13, 13, 11, 0]","[0, 10, 0, 13]","[0, 0, 13, 12]",4
3,91,86,140,136,2,"[11, 0, 10, 0]","[13, 0, 0, 0]","[0, 0, 0, 11]","[11, 0, 12, 11]","[10, 0, 0, 0]","[0, 0, 0, 13]","[0, 10, 0, 0]","[10, 0, 10, 12]","[10, 10, 0, 11]","[11, 10, 0, 10]","[11, 0, 10, 11]","[11, 11, 11, 0]","[0, 0, 10, 0]","[0, 11, 0, 0]","[0, 12, 0, 12]","[0, 0, 12, 13]","[12, 0, 11, 13]","[11, 15, 0, 11]","[15, 12, 0, 12]",1
1,180,142,91,126,3,"[12, 14, 0, 12]","[0, 12, 11, 0]","[12, 14, 12, 0]","[12, 0, 11, 11]","[12, 0, 11, 0]","[0, 10, 0, 0]","[10, 12, 12, 0]","[0, 10, 11, 12]","[11, 11, 10, 0]","[10, 0, 10, 10]","[0, 10, 10, 11]","[12, 10, 10, 0]","[10, 10, 0, 0]","[0, 10, 12, 10]","[10, 11, 0, 13]","[0, 12, 11, 12]","[0, 10, 0, 0]","[0, 12, 0, 0]","[15, 12, 11, 0]",2
3,86,109,134,134,0,"[11, 13, 0, 13]","[0, 10, 11, 0]","[11, 11, 0, 13]","[0, 11, 10, 12]","[12, 10, 0, 11]","[13, 11, 0, 10]","[11, 0, 12, 11]","[10, 0, 12, 10]","[10, 0, 11, 10]","[10, 0, 10, 10]","[10, 0, 10, 11]","[0, 10, 0, 0]","[10, 0, 12, 0]","[0, 10, 0, 0]","[0, 0, 11, 12]","[13, 0, 10, 0]","[13, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 11]",3
2,104,164,109,163,1,"[12, 14, 12, 0]","[13, 0, 0, 12]","[12, 0, 12, 0]","[0, 12, 11, 13]","[0, 12, 12, 11]","[11, 13, 0, 10]","[13, 10, 10, 0]","[11, 0, 10, 10]","[10, 0, 11, 11]","[0, 10, 10, 10]","[11, 11, 10, 0]","[13, 10, 10, 0]","[11, 0, 11, 10]","[13, 0, 10, 10]","[12, 0, 0, 0]","[10, 12, 0, 0]","[0, 0, 11, 0]","[0, 0, 12, 0]","[11, 0, 12, 12]",1
3,123,108,136,87,2,"[0, 0, 13, 11]","[11, 13, 0, 0]","[11, 10, 0, 13]","[0, 11, 0, 0]","[0, 0, 0, 12]","[10, 12, 10, 0]","[0, 10, 11, 12]","[11, 11, 10, 0]","[11, 10, 10, 0]","[0, 10, 10, 10]","[10, 0, 10, 10]","[0, 0, 0, 10]","[11, 0, 0, 10]","[0, 0, 0, 11]","[12, 0, 12, 12]","[0, 11, 10, 13]","[0, 0, 0, 0]","[0, 12, 12, 0]","[0, 13, 0, 12]",1
3,134,114,158,137,3,"[11, 0, 12, 0]","[12, 10, 0, 14]","[0, 11, 12, 11]","[14, 10, 0, 0]","[0, 13, 0, 11]","[11, 12, 0, 11]","[10, 0, 13, 0]","[0, 10, 10, 10]","[10, 10, 0, 12]","[10, 0, 10, 10]","[10, 10, 0, 10]","[11, 0, 10, 10]","[0, 11, 0, 0]","[12, 0, 13, 10]","[0, 0, 11, 11]","[0, 12, 0, 0]","[12, 0, 12, 12]","[14, 13, 0, 12]","[0, 12, 11, 14]",4
3,156,101,169,95,0,"[12, 14, 0, 0]","[0, 12, 13, 11]","[0, 13, 10, 14]","[0, 0, 10, 10]","[10, 0, 0, 11]","[10, 11, 0, 10]","[0, 0, 0, 10]","[10, 10, 0, 13]","[0, 11, 10, 11]","[10, 10, 0, 10]","[10, 11, 0, 11]","[0, 10, 10, 0]","[0, 10, 10, 11]","[0, 10, 0, 11]","[11, 13, 0, 11]","[0, 11, 14, 0]","[11, 0, 12, 0]","[0, 10, 12, 13]","[11, 0, 0, 12]",3
3,121,118,162,120,1,"[10, 0, 13, 12]","[0, 14, 0, 0]","[0, 0, 0, 13]","[11, 0, 12, 14]","[10, 12, 0, 10]","[10, 13, 0, 11]","[11, 12, 0, 10]","[0, 0, 10, 10]","[11, 0, 0, 0]","[10, 10, 10, 0]","[10, 0, 10, 10]","[0, 11, 10, 11]","[0, 11, 11, 10]","[10, 0, 11, 12]","[0, 14, 10, 0]","[0, 0, 11, 11]","[14, 11, 10, 0]","[0, 13, 0, 12]","[13, 0, 0, 16]",2
1,140,109,90,127,2,"[0, 0, 0, 0]","[14, 0, 11, 0]","[0, 11, 0, 0]","[12, 11, 0, 11]","[0, 11, 0, 0]","[0, 11, 0, 0]","[10, 10, 10, 0]","[11, 0, 10, 0]","[11, 10, 10, 0]","[10, 10, 10, 0]","[0, 10, 0, 0]","[10, 0, 0, 10]","[0, 0, 10, 10]","[0, 11, 11, 10]","[12, 12, 0, 12]","[0, 10, 14, 11]","[13, 12, 0, 11]","[12, 0, 11, 15]","[12, 11, 12, 0]",3
2,160,162,120,122,3,"[12, 0, 12, 0]","[0, 11, 12, 13]","[11, 11, 0, 11]","[11, 13, 0, 11]","[11, 14, 10, 0]","[13, 10, 12, 0]","[12, 0, 11, 10]","[0, 11, 12, 10]","[0, 0, 10, 0]","[10, 10, 10, 0]","[10, 0, 11, 10]","[0, 10, 0, 11]","[10, 11, 0, 10]","[0, 10, 0, 10]","[0, 11, 12, 0]","[10, 13, 13, 0]","[12, 12, 12, 0]","[0, 13, 12, 11]","[0, 0, 13, 13]",3
0,148,100,87,162,0,"[13, 0, 0, 14]","[13, 0, 0, 10]","[0, 0, 11, 12]","[0, 0, 11, 0]","[13, 11, 0, 11]","[0, 11, 0, 0]","[11, 13, 0, 10]","[11, 11, 10, 0]","[10, 10, 11, 0]","[11, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 10, 10]","[10, 10, 0, 0]","[12, 0, 12, 10]","[12, 11, 0, 0]","[0, 13, 12, 0]","[11, 12, 0, 0]","[15, 11, 13, 0]","[0, 15, 0, 0]",4
1,182,144,116,115,1,"[14, 10, 14, 0]","[12, 10, 12, 0]","[13, 10, 0, 10]","[10, 11, 13, 0]","[0, 11, 12, 11]","[10, 12, 0, 11]","[0, 11, 10, 12]","[11, 10, 10, 0]","[10, 10, 11, 0]","[11, 10, 0, 10]","[0, 10, 10, 10]","[0, 10, 0, 0]","[0, 13, 10, 11]","[0, 0, 11, 0]","[13, 11, 10, 0]","[0, 0, 0, 12]","[0, 11, 10, 14]","[11, 12, 0, 0]","[0, 10, 11, 15]",4
0,151,134,87,152,2,"[11, 13, 10, 0]","[0, 15, 11, 10]","[11, 0, 0, 13]","[11, 0, 12, 0]","[11, 11, 13, 0]","[0, 10, 11, 13]","[11, 11, 0, 10]","[10, 13, 10, 0]","[10, 11, 0, 11]","[10, 10, 11, 0]","[10, 0, 11, 10]","[11, 10, 10, 0]","[11, 13, 0, 10]","[0, 10, 0, 0]","[0, 12, 0, 0]","[0, 0, 12, 0]","[10, 0, 10, 0]","[11, 0, 0, 10]","[14, 12, 13, 0]",2
0,71,154,129,187,3,"[13, 12, 13, 0]","[0, 0, 12, 0]","[13, 13, 0, 10]","[12, 0, 11, 12]","[12, 0, 10, 11]","[10, 11, 13, 0]","[11, 0, 0, 0]","[0, 10, 0, 10]","[10, 0, 0, 12]","[10, 0, 10, 10]","[11, 0, 10, 11]","[11, 0, 11, 10]","[10, 0, 0, 0]","[11, 12, 11, 0]","[0, 13, 11, 10]","[12, 0, 14, 10]","[12, 0, 14, 0]","[14, 0, 0, 12]","[15, 0, 14, 11]",1
0,133,142,122,165,0,"[11, 12, 0, 12]","[15, 10, 12, 0]","[10, 0, 15, 12]","[10, 0, 0, 0]","[12, 0, 10, 13]","[0, 13, 11, 11]","[11, 12, 10, 0]","[10, 0, 10, 0]","[10, 11, 10, 0]","[10, 10, 10, 0]","[10, 10, 0, 11]","[10, 11, 10, 0]","[11, 11, 0, 12]","[0, 10, 10, 12]","[0, 11, 0, 12]","[11, 0, 12, 13]","[13, 12, 11, 0]","[11, 0, 0, 14]","[0, 0, 11, 0]",4
0,145,112,104,146,1,"[11, 15, 0, 12]","[0, 10, 11, 16]","[12, 0, 0, 10]","[10, 0, 11, 13]","[12, 11, 12, 0]","[12, 13, 0, 10]","[11, 10, 11, 0]","[0, 10, 0, 0]","[0, 12, 10, 10]","[10, 10, 0, 11]","[11, 10, 10, 0]","[10, 0, 11, 0]","[11, 0, 10, 12]","[11, 0, 0, 0]","[0, 11, 0, 0]","[12, 11, 11, 0]","[0, 11, 0, 10]","[0, 11, 0, 0]","[13, 0, 15, 0]",3
0,148,88,144,179,2,"[12, 0, 11, 12]","[14, 11, 0, 0]","[10, 13, 0, 14]","[11, 10, 0, 12]","[0, 0, 0, 11]","[10, 0, 0, 10]","[11, 0, 12, 10]","[0, 13, 10, 10]","[10, 10, 10, 0]","[10, 10, 11, 0]","[10, 11, 0, 10]","[11, 0, 0, 0]","[11, 11, 0, 10]","[13, 11, 11, 0]","[11, 12, 0, 11]","[0, 14, 12, 10]","[12, 0, 11, 0]","[12, 12, 0, 10]","[11, 10, 0, 14]",2
3,124,135,155,131,3,"[12, 12, 14, 0]","[11, 12, 0, 15]","[0, 11, 11, 13]","[10, 0, 0, 12]","[10, 14, 11, 0]","[13, 0, 10, 0]","[0, 10, 10, 12]","[0, 11, 0, 10]","[10, 10, 0, 12]","[10, 10, 0, 10]","[0, 0, 10, 0]","[11, 10, 0, 11]","[10, 13, 10, 0]","[12, 0, 12, 11]","[12, 0, 12, 10]","[0, 11, 11, 13]","[0, 0, 0, 12]","[0, 0, 12, 14]","[10, 0, 12, 0]",4
1,180,140,133,110,0,"[11, 13, 0, 13]","[0, 0, 0, 10]","[0, 11, 15, 12]","[0, 13, 12, 12]","[11, 11, 0, 10]","[0, 11, 10, 0]","[12, 11, 11, 0]","[0, 0, 10, 10]","[11, 10, 0, 11]","[0, 10, 10, 10]","[10, 12, 0, 10]","[10, 10, 11, 0]","[10, 11, 10, 0]","[10, 10, 0, 0]","[0, 11, 15, 0]","[0, 11, 12, 11]","[0, 11, 13, 11]","[11, 0, 0, 13]","[14, 14, 11, 0]",1
0,132,141,107,169,1,"[12, 0, 14, 11]","[12, 0, 13, 0]","[0, 12, 12, 11]","[0, 11, 13, 10]","[10, 0, 0, 0]","[11, 12, 11, 0]","[10, 0, 0, 0]","[12, 11, 10, 0]","[10, 10, 0, 10]","[10, 10, 10, 0]","[10, 11, 11, 0]","[11, 0, 11, 10]","[11, 11, 12, 0]","[11, 11, 0, 11]","[0, 11, 12, 11]","[14, 10, 0, 12]","[14, 0, 12, 10]","[11, 12, 0, 0]","[0, 0, 0, 11]",3
0,102,126,136,158,2,"[13, 0, 0, 0]","[10, 0, 0, 12]","[13, 0, 11, 11]","[0, 15, 12, 0]","[0, 12, 12, 12]","[10, 0, 0, 0]","[0, 12, 10, 11]","[0, 10, 0, 0]","[11, 10, 0, 11]","[10, 10, 10, 0]","[11, 0, 10, 11]","[11, 0, 10, 11]","[0, 10, 0, 10]","[11, 0, 11, 13]","[11, 0, 13, 10]","[12, 0, 13, 12]","[12, 11, 0, 12]","[11, 0, 0, 0]","[12, 12, 14, 0]",2
1,170,127,112,168,3,"[0, 0, 14, 11]","[13, 13, 11, 0]","[10, 11, 0, 14]","[0, 15, 10, 11]","[11, 10, 0, 10]","[11, 0, 0, 12]","[0, 12, 0, 0]","[10, 11, 10, 0]","[10, 11, 10, 0]","[11, 10, 10, 0]","[11, 10, 0, 10]","[12, 10, 11, 0]","[10, 11, 0, 11]","[12, 10, 0, 0]","[12, 13, 11, 0]","[0, 0, 14, 11]","[10, 12, 0, 11]","[12, 11, 13, 0]","[13, 0, 13, 11]",2
3,129,120,142,134,0,"[12, 0, 13, 13]","[0, 0, 14, 0]","[0, 10, 0, 12]","[0, 0, 0, 13]","[13, 11, 11, 0]","[10, 12, 11, 0]","[0, 10, 10, 13]","[10, 13, 10, 0]","[0, 11, 10, 11]","[10, 10, 10, 0]","[11, 11, 0, 10]","[11, 10, 0, 10]","[13, 10, 0, 11]","[11, 11, 0, 11]","[10, 0, 0, 0]","[11, 0, 10, 14]","[12, 0, 10, 12]","[0, 10, 0, 12]","[0, 0, 11, 0]",3
1,156,110,146,111,1,"[0, 0, 0, 0]","[12, 12, 0, 12]","[13, 10, 0, 0]","[0, 12, 11, 0]","[0, 11, 11, 11]","[10, 0, 0, 0]","[11, 10, 0, 12]","[0, 11, 10, 12]","[0, 11, 0, 0]","[10, 10, 0, 10]","[0, 10, 11, 11]","[10, 0, 10, 11]","[11, 0, 10, 11]","[10, 12, 0, 11]","[12, 13, 10, 0]","[0, 11, 11, 12]","[0, 11, 14, 11]","[0, 12, 12, 12]","[12, 0, 0, 10]",4
1,161,130,150,139,2,"[0, 11, 0, 14]","[0, 14, 12, 11]","[14, 12, 12, 0]","[0, 10, 0, 13]","[10, 13, 0, 11]","[12, 10, 0, 13]","[11, 0, 10, 12]","[0, 0, 10, 10]","[10, 0, 11, 10]","[11, 10, 10, 0]","[11, 10, 10, 0]","[10, 0, 11, 0]","[11, 11, 0, 10]","[13, 0, 10, 11]","[0, 12, 0, 10]","[13, 12, 11, 0]","[0, 12, 11, 0]","[0, 13, 12, 13]","[13, 11, 0, 12]",3
2,135,170,134,88,3,"[0, 14, 10, 13]","[0, 0, 0, 11]","[0, 0, 12, 10]","[12, 0, 0, 11]","[0, 11, 11, 13]","[11, 11, 0, 11]","[0, 12, 10, 12]","[10, 10, 11, 0]","[11, 10, 11, 0]","[0, 10, 10, 10]","[11, 0, 11, 10]","[10, 10, 0, 0]","[0, 0, 11, 0]","[0, 10, 12, 12]","[0, 12, 12, 10]","[13, 12, 11, 0]","[0, 13, 12, 11]","[0, 0, 11, 0]","[10, 0, 15, 0]",3
0,114,128,138,163,0,"[0, 11, 0, 14]","[10, 0, 15, 12]","[11, 11, 0, 0]","[0, 13, 11, 10]","[11, 0, 12, 0]","[12, 12, 0, 10]","[0, 0, 0, 10]","[11, 12, 10, 0]","[10, 0, 11, 11]","[10, 10, 0, 10]","[10, 11, 11, 0]","[11, 10, 0, 0]","[11, 12, 0, 10]","[11, 0, 10, 12]","[11, 0, 11, 11]","[11, 0, 0, 0]","[0, 12, 12, 0]","[12, 0, 12, 15]","[11, 0, 13, 13]",4
