winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,138,141,148,157,167,4,"[13, 0, 12, 13, 0]","[11, 12, 10, 0, 14]","[13, 11, 0, 12, 10]","[0, 10, 11, 12, 12]","[13, 0, 10, 0, 11]","[10, 10, 12, 11, 0]","[0, 11, 0, 10, 11]","[11, 11, 10, 0, 11]","[10, 0, 12, 10, 10]","[11, 10, 10, 0, 10]","[0, 11, 11, 10, 10]","[11, 0, 10, 10, 0]","[0, 11, 0, 10, 0]","[10, 11, 10, 0, 11]","[10, 10, 0, 10, 12]","[10, 10, 11, 0, 12]","[12, 0, 0, 14, 11]","[12, 10, 0, 12, 10]","[0, 0, 12, 14, 12]"
2,145,178,147,98,143,0,"[11, 13, 13, 11, 0]","[10, 0, 12, 11, 14]","[0, 13, 11, 0, 0]","[0, 0, 13, 0, 10]","[0, 10, 13, 0, 0]","[0, 11, 10, 13, 10]","[0, 0, 10, 10, 10]","[11, 0, 10, 10, 11]","[10, 10, 0, 12, 10]","[10, 10, 0, 0, 11]","[0, 10, 10, 11, 11]","[0, 0, 10, 10, 10]","[10, 11, 0, 10, 12]","[0, 0, 11, 0, 10]","[11, 11, 11, 11, 0]","[12, 11, 11, 12, 0]","[13, 12, 11, 0, 11]","[0, 11, 11, 12, 13]","[0, 12, 11, 14, 0]"
4,130,109,152,106,160,1,"[10, 0, 13, 12, 13]","[12, 0, 0, 14, 11]","[0, 11, 0, 0, 12]","[0, 10, 11, 11, 0]","[10, 11, 0, 0, 10]","[0, 0, 0, 11, 10]","[10, 0, 11, 12, 10]","[11, 10, 0, 12, 10]","[0, 10, 11, 10, 11]","[0, 10, 11, 10, 10]","[10, 0, 10, 11, 10]","[11, 10, 10, 0, 10]","[10, 11, 0, 0, 10]","[0, 10, 12, 10, 0]","[10, 0, 10, 0, 10]","[0, 0, 10, 13, 0]","[0, 13, 0, 0, 12]","[0, 12, 0, 13, 0]","[12, 12, 0, 13, 11]"
2,143,156,93,108,134,2,"[13, 11, 10, 0, 0]","[11, 13, 11, 0, 12]","[0, 11, 12, 0, 0]","[10, 0, 0, 0, 0]","[13, 0, 0, 11, 0]","[10, 12, 10, 10, 0]","[10, 10, 12, 0, 12]","[0, 10, 11, 0, 0]","[0, 11, 10, 10, 11]","[10, 0, 11, 10, 10]","[10, 12, 0, 10, 10]","[0, 10, 0, 10, 10]","[10, 12, 10, 0, 11]","[0, 10, 11, 10, 12]","[0, 10, 0, 0, 10]","[0, 0, 12, 0, 12]","[0, 0, 11, 11, 0]","[0, 0, 12, 11, 11]","[11, 11, 13, 0, 13]"
0,142,146,92,160,151,3,"[10, 0, 14, 12, 12]","[13, 11, 10, 0, 12]","[10, 0, 10, 12, 11]","[0, 11, 0, 12, 10]","[10, 13, 11, 0, 12]","[10, 11, 0, 13, 10]","[10, 0, 0, 0, 11]","[0, 10, 12, 10, 10]","[11, 0, 10, 10, 10]","[10, 11, 0, 10, 10]","[11, 10, 10, 0, 11]","[11, 10, 11, 0, 0]","[12, 11, 10, 0, 10]","[11, 10, 10, 0, 0]","[10, 10, 0, 0, 0]","[0, 12, 14, 0, 0]","[0, 0, 11, 0, 12]","[11, 0, 0, 13, 0]","[10, 12, 13, 0, 10]"
0,139,140,153,167,117,4,"[16, 10, 11, 11, 0]","[11, 12, 0, 15, 11]","[10, 0, 11, 15, 11]","[13, 0, 10, 13, 10]","[0, 11, 11, 0, 0]","[11, 10, 10, 12, 0]","[0, 11, 10, 12, 10]","[10, 0, 10, 11, 11]","[10, 11, 11, 0, 10]","[10, 10, 10, 0, 10]","[10, 10, 0, 0, 10]","[10, 11, 11, 10, 0]","[11, 0, 0, 10, 10]","[0, 10, 0, 10, 0]","[10, 10, 14, 12, 0]","[12, 11, 11, 12, 0]","[10, 0, 10, 0, 13]","[13, 0, 0, 10, 0]","[0, 12, 0, 0, 11]"
0,134,140,139,167,113,0,"[11, 13, 12, 10, 0]","[11, 0, 0, 11, 13]","[11, 0, 11, 11, 13]","[0, 0, 12, 0, 0]","[11, 0, 10, 12, 12]","[13, 10, 0, 0, 0]","[12, 0, 10, 0, 0]","[11, 0, 11, 10, 10]","[10, 11, 10, 0, 10]","[10, 0, 10, 10, 10]","[0, 10, 11, 10, 10]","[11, 10, 0, 10, 10]","[10, 11, 11, 11, 0]","[11, 12, 10, 11, 0]","[12, 10, 0, 11, 12]","[12, 11, 11, 0, 0]","[0, 11, 0, 11, 0]","[0, 12, 0, 11, 0]","[11, 13, 11, 0, 13]"
4,137,123,97,111,159,1,"[0, 14, 11, 12, 12]","[0, 12, 10, 12, 13]","[0, 11, 0, 0, 11]","[11, 12, 11, 10, 0]","[14, 10, 0, 10, 0]","[10, 0, 13, 0, 0]","[0, 0, 10, 0, 10]","[11, 10, 0, 11, 10]","[0, 0, 10, 0, 11]","[0, 10, 11, 10, 10]","[0, 0, 0, 10, 10]","[10, 12, 0, 11, 10]","[0, 0, 12, 0, 10]","[10, 10, 0, 0, 13]","[12, 10, 10, 0, 12]","[11, 15, 11, 0, 0]","[11, 0, 14, 11, 0]","[0, 11, 0, 0, 12]","[11, 0, 0, 0, 15]"
4,133,176,169,129,191,2,"[0, 0, 11, 11, 10]","[11, 14, 0, 11, 12]","[0, 12, 11, 12, 11]","[0, 11, 12, 10, 13]","[12, 0, 12, 11, 11]","[10, 0, 10, 13, 11]","[11, 10, 12, 0, 11]","[0, 11, 10, 11, 10]","[0, 10, 10, 11, 10]","[10, 0, 10, 11, 10]","[10, 11, 10, 10, 0]","[11, 10, 10, 0, 0]","[0, 11, 11, 10, 12]","[11, 0, 10, 11, 13]","[11, 12, 0, 11, 12]","[10, 0, 13, 13, 10]","[0, 0, 10, 0, 10]","[11, 10, 0, 13, 12]","[11, 11, 14, 0, 13]"
0,139,138,118,177,141,3,"[13, 10, 0, 0, 0]","[11, 0, 11, 0, 11]","[11, 11, 10, 0, 11]","[12, 12, 13, 0, 10]","[10, 10, 0, 0, 0]","[11, 10, 0, 0, 0]","[10, 12, 0, 10, 11]","[11, 10, 10, 11, 0]","[10, 0, 10, 11, 10]","[11, 10, 0, 10, 10]","[11, 10, 10, 11, 0]","[10, 10, 10, 0, 13]","[0, 0, 11, 10, 0]","[13, 11, 10, 11, 0]","[12, 0, 11, 11, 11]","[11, 0, 11, 10, 14]","[10, 13, 0, 11, 13]","[0, 0, 10, 0, 12]","[0, 10, 11, 12, 15]"
0,129,143,135,171,107,4,"[10, 12, 0, 13, 0]","[11, 11, 0, 0, 0]","[11, 0, 0, 10, 0]","[10, 0, 10, 12, 0]","[12, 11, 11, 0, 11]","[10, 12, 13, 0, 10]","[0, 10, 0, 12, 0]","[0, 11, 10, 10, 0]","[10, 10, 0, 10, 11]","[10, 10, 10, 0, 11]","[10, 10, 10, 11, 0]","[10, 0, 11, 10, 10]","[12, 0, 10, 12, 10]","[10, 10, 13, 0, 12]","[0, 0, 10, 0, 10]","[11, 11, 12, 11, 0]","[11, 0, 13, 11, 12]","[10, 0, 0, 13, 10]","[13, 11, 10, 0, 0]"
4,137,161,163,153,168,0,"[11, 0, 13, 11, 12]","[12, 13, 13, 10, 0]","[0, 11, 11, 0, 0]","[12, 0, 10, 10, 12]","[0, 0, 11, 0, 11]","[0, 11, 11, 10, 12]","[0, 13, 10, 11, 10]","[0, 10, 10, 11, 10]","[10, 10, 10, 10, 0]","[10, 0, 10, 10, 10]","[10, 0, 10, 10, 11]","[11, 10, 0, 10, 10]","[11, 0, 10, 11, 11]","[10, 11, 11, 0, 11]","[12, 0, 10, 12, 11]","[11, 11, 0, 14, 11]","[10, 13, 0, 11, 13]","[11, 12, 11, 0, 13]","[12, 12, 0, 12, 0]"
3,141,122,180,131,152,1,"[0, 10, 12, 15, 0]","[10, 0, 10, 0, 12]","[0, 11, 10, 14, 0]","[0, 11, 0, 0, 11]","[11, 12, 0, 10, 12]","[0, 0, 0, 10, 10]","[0, 0, 0, 13, 10]","[11, 11, 0, 10, 10]","[0, 10, 10, 10, 10]","[10, 10, 10, 10, 0]","[11, 0, 10, 11, 10]","[10, 0, 10, 10, 10]","[10, 11, 0, 11, 11]","[10, 13, 0, 10, 10]","[12, 10, 0, 10, 13]","[12, 0, 12, 13, 10]","[12, 10, 13, 12, 0]","[0, 10, 12, 0, 13]","[12, 12, 13, 11, 0]"
