gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
68,1,8,500,1.3,False,0,True,0,1,4,2
68,2,8,500,1.3,False,0,True,14,4,4,2
69,0,8,500,1.3,False,50,True,11,1,1,2
69,1,8,500,1.3,False,0,True,0,5,2,2
69,2,8,500,1.3,False,0,True,0,2,4,2
70,0,8,500,1.3,False,50,True,12,2,2,0
70,1,8,500,1.3,False,0,True,13,3,3,0
70,2,8,500,1.3,False,0,True,0,3,2,0
71,0,8,500,1.3,False,50,True,0,4,3,1
71,1,8,500,1.3,False,0,True,0,3,5,1
71,2,8,500,1.3,False,0,True,11,1,1,1
72,0,8,500,1.3,False,50,True,0,3,2,0
72,1,8,500,1.3,False,0,True,13,3,3,0
72,2,8,500,1.3,False,0,True,12,2,2,0
73,0,8,500,1.3,False,50,True,0,3,2,1
73,1,8,500,1.3,False,0,True,13,3,3,1
73,2,8,500,1.3,False,0,True,12,2,2,1
74,0,8,500,1.3,False,50,True,0,3,2,2
74,1,8,500,1.3,False,0,True,14,4,4,2
74,2,8,500,1.3,False,0,True,11,1,1,2
75,0,8,500,1.3,False,50,True,13,3,3,1
75,1,8,500,1.3,False,0,True,0,3,2,1
75,2,8,500,1.3,False,0,True,12,2,2,1
76,0,8,500,1.3,False,50,True,14,4,4,1
76,1,8,500,1.3,False,0,True,0,2,5,1
76,2,8,500,1.3,False,0,True,0,2,0,1
77,0,8,500,1.3,False,50,True,13,3,3,1
77,1,8,500,1.3,False,0,True,0,4,2,1
77,2,8,500,1.3,False,0,True,0,1,2,1
78,0,8,500,1.3,False,50,True,0,6,5,0
78,1,8,500,1.3,False,0,True,11,1,1,0
78,2,8,500,1.3,False,0,True,0,1,3,0
79,0,8,500,1.3,False,50,True,0,1,2,0
79,1,8,500,1.3,False,0,True,0,4,3,0
79,2,8,500,1.3,False,0,True,0,3,4,0
80,0,8,500,1.3,False,50,True,11,1,1,1
80,1,8,500,1.3,False,0,True,0,4,5,1
80,2,8,500,1.3,False,0,True,13,3,3,1
81,0,8,500,1.3,False,50,True,13,3,3,2
81,1,8,500,1.3,False,0,True,0,1,2,2
81,2,8,500,1.3,False,0,True,0,4,5,2
82,0,8,500,1.3,False,50,True,0,4,6,0
82,1,8,500,1.3,False,0,True,12,2,2,0
82,2,8,500,1.3,False,0,True,12,2,2,0
83,0,8,500,1.3,False,50,True,14,4,4,1
83,1,8,500,1.3,False,0,True,0,2,1,1
83,2,8,500,1.3,False,0,True,12,2,2,1
84,0,8,500,1.3,False,50,True,14,4,4,2
84,1,8,500,1.3,False,0,True,0,2,1,2
84,2,8,500,1.3,False,0,True,12,2,2,2
85,0,8,500,1.3,False,50,True,0,1,0,0
85,1,8,500,1.3,False,0,True,0,0,1,0
85,2,8,500,1.3,False,0,True,0,7,6,0
86,0,8,500,1.3,False,50,True,0,0,1,0
86,1,8,500,1.3,False,0,True,0,5,4,0
86,2,8,500,1.3,False,0,True,0,3,1,0
87,0,8,500,1.3,False,50,True,0,2,0,0
87,1,8,500,1.3,False,0,True,12,2,2,0
87,2,8,500,1.3,False,0,True,14,4,4,0
88,0,8,500,1.3,False,50,True,11,1,1,1
88,1,8,500,1.3,False,0,True,0,2,5,1
88,2,8,500,1.3,False,0,True,0,5,3,1
89,0,8,500,1.3,False,50,True,12,2,2,0
89,1,8,500,1.3,False,0,True,0,2,3,0
89,2,8,500,1.3,False,0,True,0,4,2,0
90,0,8,500,1.3,False,50,True,13,3,3,0
90,1,8,500,1.3,False,0,True,0,3,2,0
90,2,8,500,1.3,False,0,True,12,2,2,0
91,0,8,500,1.3,False,50,True,12,2,2,0
91,1,8,500,1.3,False,0,True,12,2,2,0
91,2,8,500,1.3,False,0,True,0,4,3,0
92,0,8,500,1.3,False,50,True,12,2,2,1
92,1,8,500,1.3,False,0,True,12,2,2,1
92,2,8,500,1.3,False,0,True,0,4,2,1
93,0,8,500,1.3,False,50,True,12,2,2,1
93,1,8,500,1.3,False,0,True,0,3,5,1
