card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
2H,low,False,1,2,7,1,1,10
TS,high,False,3,1,6,0,0,6
2S,low,False,2,0,6,-1,0,4
KS,veryhigh,False,4,2,4,2,1,10
4D,low,False,4,1,4,2,1,9
8D,mediumHigh,False,3,0,1,2,0,4
6S,mediumlow,False,1,-1,1,2,0,3
6D,mediumlow,False,2,-2,1,2,0,2
6H,mediumlow,False,2,3,3,0,3,10
AC,veryhigh,False,4,2,1,-1,2,5
AD,veryhigh,True,1,1,1,-1,2,4
3C,low,False,3,0,1,-1,2,3
TH,high,False,4,4,1,3,1,10
2H,low,False,3,3,1,2,1,8
TD,high,False,1,2,1,-1,1,4
9C,mediumHigh,True,3,1,1,-1,1,3
9D,mediumHigh,False,3,2,3,1,5,10
4C,low,False,1,1,3,1,5,9
6D,mediumlow,False,2,0,2,1,3,5
QS,high,True,5,6,0,1,2,10
AS,veryhigh,True,4,5,0,1,2,9
3S,low,True,3,4,0,1,2,8
AD,veryhigh,False,3,3,0,1,0,5
7D,mediumlow,False,2,2,0,1,0,4
5D,low,False,1,1,0,1,-1,2
QS,high,False,2,4,2,2,1,10
JH,high,True,3,3,2,2,1,9
3H,low,True,2,2,2,2,1,8
5D,low,False,3,1,0,1,1,4
KD,veryhigh,False,1,0,0,1,0,2
4D,low,False,3,2,5,1,3,10
QC,high,True,1,1,3,1,-1,3
9H,mediumHigh,False,2,0,3,1,-1,2
TD,high,False,3,1,6,2,0,10
3D,low,False,2,0,6,1,0,8
4S,low,False,4,2,4,4,1,10
QH,high,False,3,1,3,3,0,6
TC,high,True,4,3,4,2,0,10
9C,mediumHigh,True,3,2,4,2,0,9
5H,low,False,2,1,2,1,0,5
QC,high,True,1,0,2,1,-1,3
9S,mediumHigh,True,3,1,3,3,5,10
AS,veryhigh,True,1,0,2,1,3,4
JC,high,False,1,-1,2,1,3,3
8C,mediumHigh,False,2,1,3,3,5,10
5D,low,False,4,0,3,2,4,7
2C,low,False,3,0,7,2,2,10
TC,high,False,1,1,8,0,0,10
9D,mediumHigh,False,3,5,1,1,2,10
QC,high,True,3,4,0,0,1,6
6D,mediumlow,False,2,3,0,0,1,5
5D,low,False,1,2,0,0,1,4
3S,low,False,1,1,0,0,1,3
2C,low,False,3,2,3,4,0,10
