seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1910,1,151,132,105,150,2,"[13, 14, 13, 0]","[13, 0, 0, 0]","[12, 0, 11, 14]","[0, 14, 10, 0]","[11, 0, 10, 0]","[10, 14, 11, 0]","[10, 0, 10, 11]","[10, 0, 0, 0]","[0, 12, 10, 10]","[10, 10, 0, 10]","[10, 10, 11, 0]","[0, 11, 11, 10]","[0, 11, 11, 0]","[11, 11, 11, 0]","[0, 12, 0, 13]","[11, 10, 0, 14]","[13, 12, 13, 0]","[16, 10, 0, 11]","[0, 0, 0, 12]"
1911,0,88,74,110,128,3,"[13, 12, 0, 0]","[14, 0, 10, 15]","[15, 0, 0, 12]","[0, 14, 0, 11]","[0, 10, 13, 0]","[0, 0, 0, 11]","[0, 0, 0, 11]","[11, 10, 0, 10]","[11, 10, 10, 0]","[0, 10, 10, 10]","[10, 0, 10, 10]","[10, 0, 11, 0]","[0, 0, 10, 10]","[10, 12, 0, 10]","[11, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]","[13, 10, 0, 0]","[0, 0, 0, 0]"
1912,2,159,164,114,111,0,"[0, 11, 13, 12]","[0, 13, 11, 14]","[15, 0, 10, 0]","[10, 0, 0, 0]","[0, 11, 14, 11]","[10, 0, 11, 0]","[0, 0, 0, 13]","[10, 10, 11, 0]","[11, 0, 10, 10]","[0, 10, 11, 10]","[12, 10, 0, 10]","[10, 11, 11, 0]","[11, 10, 0, 13]","[11, 11, 10, 0]","[0, 11, 0, 0]","[0, 16, 11, 10]","[0, 12, 15, 11]","[0, 11, 13, 0]","[11, 12, 13, 0]"
1913,1,125,83,91,121,1,"[0, 0, 0, 14]","[0, 10, 0, 0]","[11, 10, 0, 0]","[10, 13, 11, 0]","[0, 12, 10, 12]","[0, 0, 0, 10]","[11, 11, 0, 10]","[10, 0, 10, 12]","[0, 11, 0, 0]","[10, 0, 11, 10]","[10, 11, 0, 11]","[11, 0, 10, 0]","[0, 0, 0, 0]","[10, 11, 11, 0]","[13, 10, 10, 0]","[12, 12, 0, 0]","[0, 0, 0, 12]","[13, 14, 0, 0]","[0, 0, 10, 0]"
1914,0,113,111,112,163,2,"[0, 17, 12, 11]","[12, 0, 0, 0]","[11, 0, 0, 10]","[13, 10, 0, 0]","[12, 0, 0, 0]","[0, 0, 12, 0]","[0, 10, 0, 0]","[11, 10, 0, 0]","[0, 11, 10, 11]","[10, 10, 0, 10]","[11, 0, 10, 10]","[0, 0, 10, 10]","[11, 10, 10, 0]","[11, 0, 11, 11]","[10, 0, 12, 14]","[11, 11, 0, 11]","[14, 0, 0, 0]","[14, 11, 13, 0]","[12, 13, 11, 14]"
1915,0,90,131,45,132,3,"[0, 0, 14, 0]","[0, 0, 10, 0]","[16, 11, 0, 0]","[10, 10, 13, 0]","[0, 0, 0, 0]","[0, 0, 10, 0]","[10, 10, 10, 0]","[10, 0, 10, 11]","[10, 12, 0, 10]","[10, 11, 10, 0]","[10, 0, 10, 0]","[10, 0, 0, 0]","[0, 0, 10, 11]","[11, 12, 11, 0]","[11, 0, 11, 0]","[13, 0, 0, 0]","[0, 0, 0, 13]","[11, 13, 12, 0]","[0, 11, 0, 0]"
1916,0,121,100,88,132,0,"[13, 13, 0, 0]","[14, 0, 10, 13]","[11, 12, 0, 0]","[0, 0, 0, 0]","[0, 10, 10, 0]","[0, 0, 0, 12]","[0, 10, 10, 12]","[10, 0, 12, 10]","[10, 10, 0, 10]","[0, 10, 10, 10]","[10, 10, 10, 0]","[11, 0, 10, 10]","[11, 10, 0, 11]","[0, 11, 0, 0]","[11, 0, 0, 0]","[10, 0, 0, 0]","[0, 13, 0, 0]","[10, 12, 14, 0]","[11, 0, 14, 0]"
1917,1,153,123,106,140,1,"[0, 12, 0, 13]","[15, 13, 0, 10]","[12, 13, 12, 0]","[0, 12, 0, 10]","[13, 12, 11, 0]","[0, 10, 10, 0]","[12, 0, 0, 0]","[11, 0, 10, 0]","[10, 0, 11, 10]","[10, 10, 0, 10]","[10, 11, 11, 0]","[10, 0, 10, 10]","[0, 0, 0, 10]","[0, 13, 11, 11]","[12, 13, 0, 11]","[0, 12, 10, 0]","[0, 12, 13, 11]","[14, 10, 14, 0]","[11, 0, 0, 0]"
1918,0,166,125,80,177,2,"[0, 11, 12, 0]","[12, 0, 11, 12]","[12, 0, 0, 0]","[12, 0, 0, 0]","[10, 13, 10, 0]","[10, 11, 12, 0]","[10, 12, 10, 0]","[12, 10, 11, 0]","[10, 11, 11, 0]","[10, 10, 0, 10]","[10, 11, 10, 0]","[10, 10, 11, 0]","[10, 11, 0, 0]","[13, 11, 0, 11]","[11, 12, 0, 11]","[0, 12, 0, 0]","[0, 10, 12, 13]","[13, 11, 0, 12]","[12, 0, 15, 11]"
1919,2,137,148,109,148,3,"[12, 0, 0, 0]","[11, 11, 16, 0]","[10, 0, 0, 12]","[12, 12, 11, 0]","[12, 13, 0, 11]","[0, 0, 0, 0]","[0, 12, 12, 10]","[11, 0, 10, 10]","[11, 11, 0, 10]","[11, 10, 10, 0]","[0, 11, 11, 10]","[10, 12, 11, 0]","[0, 10, 12, 11]","[0, 11, 11, 10]","[11, 0, 12, 13]","[12, 13, 10, 12]","[0, 0, 10, 0]","[13, 11, 12, 0]","[12, 0, 0, 0]"
1920,0,113,112,105,129,0,"[11, 13, 14, 0]","[11, 13, 0, 13]","[11, 0, 0, 0]","[0, 12, 0, 0]","[12, 0, 12, 10]","[0, 0, 11, 10]","[0, 0, 0, 0]","[0, 10, 11, 10]","[11, 10, 0, 10]","[10, 0, 10, 10]","[0, 0, 0, 10]","[10, 0, 10, 10]","[0, 0, 0, 10]","[10, 12, 12, 0]","[11, 10, 11, 0]","[0, 11, 11, 0]","[10, 0, 10, 12]","[11, 10, 0, 0]","[11, 12, 0, 0]"
1921,0,97,125,108,156,1,"[10, 0, 12, 0]","[15, 11, 12, 0]","[12, 0, 0, 11]","[0, 12, 0, 10]","[11, 0, 0, 0]","[11, 0, 0, 11]","[10, 0, 11, 10]","[11, 10, 12, 0]","[10, 0, 10, 0]","[10, 0, 10, 11]","[11, 10, 10, 0]","[0, 10, 10, 0]","[0, 10, 12, 10]","[10, 0, 12, 11]","[0, 12, 14, 10]","[13, 10, 0, 12]","[10, 12, 0, 12]","[12, 0, 0, 0]","[0, 0, 0, 0]"
1922,0,112,175,112,177,2,"[11, 0, 13, 13]","[15, 0, 12, 11]","[0, 13, 12, 10]","[13, 0, 10, 0]","[12, 11, 11, 0]","[0, 11, 11, 10]","[0, 0, 11, 0]","[12, 0, 10, 11]","[11, 0, 0, 0]","[10, 10, 0, 10]","[11, 10, 10, 0]","[13, 10, 10, 0]","[0, 0, 0, 10]","[12, 13, 0, 10]","[11, 11, 11, 13]","[11, 12, 13, 0]","[11, 11, 14, 0]","[11, 0, 15, 0]","[13, 0, 12, 14]"
1923,2,139,151,139,129,3,"[13, 15, 0, 0]","[0, 14, 11, 13]","[14, 10, 13, 0]","[0, 10, 11, 12]","[11, 0, 0, 10]","[12, 0, 11, 10]","[0, 11, 10, 11]","[0, 11, 10, 10]","[11, 11, 0, 10]","[10, 11, 10, 0]","[10, 0, 10, 10]","[10, 0, 10, 12]","[0, 0, 10, 10]","[10, 11, 12, 0]","[0, 0, 12, 10]","[13, 10, 11, 0]","[0, 12, 0, 11]","[0, 0, 10, 10]","[15, 13, 0, 0]"
1924,1,125,113,104,113,0,"[0, 12, 14, 12]","[0, 10, 0, 0]","[0, 0, 11, 0]","[11, 10, 0, 13]","[12, 10, 0, 0]","[10, 11, 0, 14]","[0, 10, 11, 0]","[12, 11, 0, 10]","[0, 10, 0, 0]","[0, 10, 10, 11]","[10, 0, 11, 10]","[12, 10, 10, 0]","[11, 10, 0, 10]","[12, 0, 0, 10]","[0, 0, 11, 0]","[11, 0, 0, 0]","[12, 0, 10, 0]","[0, 0, 12, 0]","[0, 11, 13, 14]"
1925,0,145,153,129,176,1,"[13, 0, 14, 11]","[10, 11, 13, 0]","[0, 13, 10, 12]","[13, 0, 11, 11]","[10, 0, 10, 13]","[11, 0, 11, 11]","[11, 11, 0, 11]","[10, 10, 11, 12]","[10, 0, 10, 0]","[10, 10, 10, 0]","[10, 10, 11, 11]","[10, 10, 0, 0]","[11, 10, 10, 0]","[12, 10, 10, 0]","[12, 12, 0, 0]","[11, 13, 0, 13]","[0, 12, 12, 12]","[0, 0, 10, 12]","[12, 13, 0, 0]"
1926,2,97,140,111,125,2,"[14, 0, 14, 0]","[0, 0, 0, 0]","[12, 0, 15, 10]","[0, 11, 13, 11]","[0, 10, 12, 11]","[0, 0, 0, 11]","[10, 0, 10, 0]","[10, 11, 0, 10]","[10, 10, 11, 0]","[10, 11, 0, 10]","[10, 10, 0, 11]","[0, 0, 10, 0]","[11, 0, 0, 0]","[0, 0, 11, 0]","[12, 11, 11, 0]","[0, 0, 10, 12]","[0, 11, 10, 0]","[13, 0, 13, 12]","[13, 12, 0, 13]"
1927,3,125,113,159,140,3,"[14, 12, 0, 13]","[0, 16, 11, 11]","[13, 0, 12, 12]","[13, 0, 11, 12]","[11, 0, 0, 0]","[10, 0, 0, 0]","[11, 0, 12, 10]","[0, 10, 10, 11]","[11, 0, 0, 0]","[0, 10, 10, 10]","[0, 11, 11, 10]","[10, 10, 0, 11]","[11, 10, 0, 0]","[0, 11, 0, 11]","[0, 13, 11, 12]","[12, 0, 12, 10]","[0, 11, 0, 12]","[11, 0, 13, 0]","[13, 11, 0, 14]"
1928,0,103,113,96,161,0,"[15, 0, 12, 0]","[10, 0, 0, 0]","[12, 12, 0, 12]","[11, 0, 0, 0]","[11, 11, 0, 0]","[12, 0, 11, 12]","[0, 13, 0, 10]","[0, 0, 0, 10]","[0, 10, 10, 10]","[10, 0, 10, 10]","[10, 10, 11, 0]","[10, 11, 0, 11]","[10, 0, 10, 11]","[12, 11, 0, 0]","[0, 0, 14, 0]","[0, 0, 12, 10]","[12, 0, 12, 0]","[15, 12, 11, 0]","[11, 13, 0, 0]"
1929,0,66,121,117,154,1,"[0, 0, 0, 12]","[0, 0, 12, 11]","[12, 0, 0, 0]","[11, 0, 12, 11]","[0, 12, 12, 10]","[13, 0, 0, 0]","[0, 0, 0, 10]","[10, 0, 0, 11]","[11, 0, 10, 11]","[11, 0, 10, 10]","[0, 11, 10, 10]","[0, 10, 0, 11]","[13, 11, 10, 0]","[12, 0, 10, 0]","[12, 11, 11, 0]","[14, 0, 10, 0]","[10, 11, 0, 0]","[12, 0, 14, 10]","[13, 0, 0, 0]"
1930,2,127,164,100,117,2,"[16, 11, 0, 0]","[0, 11, 13, 12]","[0, 13, 11, 0]","[11, 11, 13, 0]","[12, 0, 12, 12]","[12, 0, 10, 0]","[0, 13, 11, 10]","[10, 0, 10, 12]","[0, 10, 10, 10]","[0, 10, 10, 10]","[0, 0, 10, 10]","[11, 10, 0, 0]","[0, 12, 0, 0]","[10, 12, 10, 0]","[11, 0, 0, 10]","[0, 0, 11, 0]","[14, 0, 11, 0]","[10, 0, 11, 0]","[0, 14, 11, 14]"
1931,2,145,169,115,152,3,"[11, 12, 0, 0]","[0, 13, 13, 11]","[0, 0, 12, 10]","[0, 10, 13, 11]","[13, 0, 11, 10]","[11, 0, 11, 10]","[0, 12, 11, 11]","[10, 0, 11, 11]","[10, 10, 10, 0]","[0, 10, 10, 10]","[10, 10, 10, 0]","[11, 10, 11, 0]","[10, 11, 11, 0]","[13, 10, 12, 0]","[0, 0, 11, 10]","[12, 12, 12, 0]","[14, 12, 0, 11]","[12, 13, 0, 10]","[15, 0, 0, 0]"
1932,1,172,140,135,123,0,"[0, 11, 14, 14]","[0, 12, 11, 14]","[13, 11, 12, 0]","[11, 0, 0, 13]","[13, 0, 11, 10]","[0, 12, 11, 10]","[0, 10, 0, 10]","[10, 11, 12, 10]","[10, 11, 11, 0]","[10, 11, 0, 0]","[10, 10, 10, 0]","[13, 10, 0, 10]","[11, 0, 0, 0]","[0, 10, 12, 11]","[12, 0, 11, 11]","[0, 12, 0, 10]","[10, 14, 13, 0]","[0, 13, 0, 0]","[0, 14, 12, 12]"
1933,3,76,126,130,130,1,"[0, 0, 0, 14]","[10, 0, 12, 13]","[0, 11, 14, 12]","[10, 0, 0, 0]","[0, 11, 0, 11]","[11, 0, 0, 11]","[11, 10, 0, 0]","[10, 0, 0, 0]","[0, 10, 10, 12]","[10, 0, 10, 10]","[11, 11, 0, 10]","[10, 0, 10, 13]","[10, 10, 13, 0]","[0, 0, 0, 12]","[11, 13, 10, 0]","[0, 0, 12, 0]","[11, 0, 13, 12]","[0, 0, 12, 0]","[15, 0, 10, 0]"
1934,1,171,162,90,161,2,"[14, 0, 0, 13]","[13, 12, 0, 12]","[10, 12, 12, 0]","[14, 11, 11, 0]","[11, 0, 12, 11]","[11, 14, 0, 10]","[12, 10, 11, 0]","[10, 0, 10, 11]","[0, 10, 0, 10]","[10, 10, 10, 0]","[11, 11, 10, 0]","[0, 10, 12, 11]","[0, 10, 10, 0]","[10, 11, 11, 0]","[11, 11, 14, 0]","[0, 14, 0, 0]","[0, 14, 12, 0]","[12, 0, 13, 12]","[12, 11, 14, 0]"
1935,0,155,125,144,157,3,"[0, 11, 13, 0]","[13, 0, 0, 10]","[0, 13, 12, 10]","[10, 0, 14, 11]","[12, 11, 0, 11]","[13, 10, 0, 0]","[0, 10, 0, 0]","[10, 10, 0, 10]","[11, 0, 10, 10]","[10, 0, 11, 10]","[0, 10, 10, 10]","[10, 12, 10, 11]","[0, 11, 12, 11]","[10, 11, 0, 14]","[10, 11, 12, 0]","[11, 0, 11, 12]","[10, 11, 0, 14]","[12, 11, 0, 0]","[15, 13, 10, 0]"
1936,3,146,123,165,157,0,"[12, 0, 15, 12]","[0, 0, 13, 13]","[0, 10, 0, 10]","[12, 13, 0, 10]","[11, 12, 0, 11]","[10, 12, 10, 0]","[10, 0, 12, 10]","[10, 0, 10, 13]","[10, 0, 10, 10]","[11, 10, 10, 0]","[0, 11, 10, 11]","[10, 10, 0, 12]","[0, 10, 0, 14]","[14, 11, 0, 0]","[14, 11, 10, 0]","[0, 0, 0, 12]","[11, 11, 12, 14]","[11, 14, 0, 13]","[11, 11, 11, 0]"
1937,0,108,144,114,167,1,"[12, 14, 12, 0]","[11, 14, 0, 13]","[0, 14, 10, 0]","[12, 0, 11, 13]","[10, 0, 11, 14]","[10, 11, 0, 12]","[10, 0, 14, 0]","[0, 10, 10, 11]","[10, 10, 0, 10]","[10, 0, 11, 10]","[0, 10, 10, 10]","[10, 0, 0, 10]","[11, 0, 11, 0]","[11, 0, 0, 0]","[12, 0, 0, 0]","[11, 11, 11, 0]","[0, 14, 11, 0]","[13, 0, 11, 0]","[14, 0, 11, 11]"
1938,1,142,109,124,120,2,"[15, 14, 10, 0]","[10, 0, 12, 14]","[15, 0, 11, 10]","[12, 13, 0, 12]","[0, 11, 10, 0]","[0, 10, 0, 0]","[0, 10, 12, 0]","[0, 11, 10, 10]","[11, 10, 0, 11]","[11, 10, 0, 10]","[11, 10, 10, 0]","[0, 10, 11, 0]","[0, 0, 10, 12]","[0, 10, 0, 10]","[0, 0, 0, 10]","[11, 0, 0, 12]","[0, 11, 0, 0]","[11, 12, 0, 13]","[13, 0, 13, 0]"
1939,2,139,143,115,141,3,"[14, 0, 11, 12]","[0, 13, 0, 0]","[14, 13, 10, 0]","[12, 0, 0, 10]","[0, 14, 11, 11]","[12, 0, 12, 11]","[10, 13, 0, 11]","[11, 0, 11, 10]","[0, 10, 11, 10]","[10, 0, 10, 10]","[12, 10, 10, 0]","[10, 10, 0, 10]","[0, 10, 11, 10]","[0, 10, 0, 0]","[0, 12, 0, 0]","[13, 11, 10, 0]","[0, 0, 15, 10]","[11, 0, 11, 0]","[12, 13, 10, 0]"
1940,2,152,156,111,99,0,"[0, 13, 0, 10]","[12, 12, 0, 0]","[0, 15, 11, 0]","[11, 12, 14, 0]","[11, 0, 11, 11]","[0, 12, 11, 0]","[11, 0, 0, 0]","[0, 12, 10, 11]","[11, 10, 11, 10]","[0, 10, 10, 10]","[10, 0, 11, 10]","[10, 11, 11, 0]","[10, 0, 10, 0]","[0, 10, 13, 0]","[0, 11, 11, 0]","[0, 11, 0, 12]","[0, 13, 11, 13]","[13, 0, 11, 13]","[0, 0, 0, 11]"
1941,0,129,100,108,166,1,"[12, 0, 13, 12]","[13, 0, 0, 0]","[12, 11, 0, 11]","[11, 0, 0, 10]","[0, 0, 0, 0]","[10, 11, 0, 13]","[0, 12, 11, 10]","[11, 10, 11, 0]","[0, 10, 10, 11]","[10, 10, 0, 10]","[10, 0, 10, 11]","[0, 10, 0, 0]","[13, 10, 0, 10]","[11, 0, 11, 0]","[12, 0, 11, 10]","[14, 10, 12, 0]","[15, 12, 0, 0]","[0, 10, 0, 0]","[12, 13, 11, 0]"
1942,2,101,179,111,108,2,"[11, 12, 13, 0]","[0, 12, 13, 0]","[0, 11, 0, 0]","[0, 12, 15, 10]","[0, 11, 11, 0]","[10, 0, 11, 11]","[0, 11, 11, 11]","[12, 0, 0, 0]","[0, 0, 10, 0]","[10, 10, 10, 0]","[11, 0, 10, 11]","[0, 10, 0, 0]","[13, 0, 10, 10]","[0, 0, 10, 10]","[0, 0, 11, 12]","[0, 12, 10, 0]","[12, 0, 13, 12]","[16, 0, 10, 12]","[13, 0, 11, 12]"
1943,1,154,101,124,146,3,"[14, 13, 10, 0]","[11, 14, 0, 11]","[12, 11, 0, 12]","[0, 12, 12, 13]","[10, 12, 13, 0]","[11, 10, 14, 0]","[13, 11, 0, 10]","[10, 10, 10, 0]","[10, 10, 10, 0]","[0, 10, 10, 10]","[10, 0, 10, 10]","[10, 11, 0, 11]","[10, 10, 0, 12]","[12, 10, 0, 0]","[0, 0, 0, 11]","[0, 0, 0, 12]","[0, 0, 12, 0]","[13, 10, 0, 0]","[0, 0, 0, 12]"
1944,0,127,121,112,148,0,"[12, 12, 12, 0]","[0, 10, 13, 14]","[13, 11, 0, 13]","[0, 14, 0, 11]","[0, 0, 11, 11]","[10, 0, 0, 0]","[12, 0, 10, 11]","[10, 0, 0, 0]","[10, 10, 12, 0]","[10, 0, 10, 10]","[0, 0, 10, 10]","[10, 10, 0, 11]","[0, 0, 10, 0]","[10, 11, 10, 0]","[13, 12, 11, 0]","[0, 0, 0, 0]","[12, 12, 0, 11]","[12, 14, 0, 10]","[14, 11, 12, 0]"
1945,1,178,105,106,109,1,"[0, 0, 11, 0]","[0, 11, 13, 10]","[0, 13, 14, 10]","[12, 0, 0, 10]","[0, 12, 11, 11]","[0, 11, 11, 0]","[11, 10, 0, 11]","[0, 11, 10, 0]","[10, 10, 0, 10]","[10, 10, 0, 10]","[10, 11, 0, 10]","[10, 10, 12, 0]","[11, 10, 0, 0]","[10, 0, 11, 0]","[0, 10, 0, 0]","[0, 11, 12, 12]","[13, 12, 0, 0]","[12, 12, 0, 12]","[0, 14, 0, 0]"
1946,0,137,159,121,162,2,"[13, 0, 12, 12]","[12, 11, 14, 0]","[12, 0, 15, 10]","[0, 12, 0, 0]","[12, 0, 10, 12]","[0, 11, 11, 12]","[11, 13, 10, 0]","[10, 0, 12, 10]","[0, 10, 11, 10]","[10, 10, 0, 11]","[10, 11, 11, 0]","[12, 11, 10, 10]","[11, 0, 10, 0]","[0, 12, 11, 0]","[10, 14, 0, 10]","[13, 12, 0, 11]","[0, 0, 10, 0]","[13, 10, 0, 13]","[13, 0, 12, 0]"
1947,1,197,133,89,154,3,"[0, 11, 0, 0]","[0, 13, 10, 0]","[10, 12, 0, 10]","[12, 14, 11, 0]","[14, 10, 0, 12]","[12, 10, 12, 0]","[10, 12, 10, 12]","[10, 12, 11, 0]","[10, 12, 0, 10]","[10, 10, 11, 0]","[0, 10, 10, 11]","[10, 11, 0, 12]","[10, 0, 0, 0]","[11, 11, 0, 11]","[0, 0, 13, 0]","[10, 13, 12, 0]","[10, 12, 10, 0]","[15, 10, 12, 0]","[0, 14, 11, 11]"
1948,0,119,121,128,137,0,"[13, 0, 0, 14]","[11, 0, 11, 0]","[0, 11, 0, 10]","[0, 0, 0, 12]","[12, 12, 11, 0]","[11, 12, 0, 11]","[12, 10, 10, 0]","[11, 12, 0, 10]","[10, 10, 12, 0]","[0, 10, 10, 10]","[11, 0, 10, 10]","[11, 0, 10, 10]","[11, 11, 0, 0]","[0, 0, 0, 0]","[0, 10, 13, 11]","[0, 10, 0, 14]","[11, 0, 11, 0]","[13, 11, 12, 0]","[0, 0, 11, 16]"
1949,2,110,146,134,122,1,"[0, 0, 14, 12]","[11, 13, 13, 0]","[0, 10, 10, 13]","[11, 0, 0, 0]","[11, 0, 10, 11]","[0, 10, 10, 0]","[10, 0, 12, 11]","[10, 11, 0, 10]","[0, 10, 12, 10]","[11, 0, 10, 10]","[10, 0, 0, 0]","[0, 10, 12, 10]","[12, 10, 0, 0]","[0, 0, 10, 0]","[12, 0, 12, 12]","[12, 11, 11, 13]","[0, 0, 0, 11]","[0, 10, 0, 11]","[12, 15, 10, 0]"
