seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1977,2,57,157,95,115,1,"[0, 14, 0, 11]","[13, 0, 12, 13]","[12, 0, 15, 0]","[11, 0, 0, 0]","[11, 0, 11, 10]","[0, 0, 12, 0]","[0, 0, 0, 10]","[0, 10, 0, 0]","[0, 0, 0, 11]","[10, 0, 10, 10]","[0, 0, 10, 10]","[10, 11, 10, 0]","[11, 0, 10, 10]","[11, 0, 11, 10]","[0, 11, 10, 0]","[12, 0, 11, 0]","[0, 0, 13, 0]","[14, 11, 12, 0]","[0, 0, 10, 0]"
1978,0,142,130,112,160,2,"[11, 14, 0, 13]","[12, 14, 0, 11]","[0, 12, 12, 13]","[13, 0, 11, 12]","[10, 11, 14, 0]","[0, 11, 10, 11]","[0, 11, 10, 0]","[10, 0, 11, 0]","[10, 11, 0, 11]","[11, 10, 0, 10]","[11, 10, 10, 0]","[13, 0, 10, 10]","[10, 0, 10, 0]","[0, 0, 0, 11]","[13, 0, 11, 10]","[11, 12, 11, 0]","[12, 0, 10, 0]","[0, 12, 0, 0]","[13, 14, 0, 0]"
1979,2,125,143,101,131,3,"[12, 0, 0, 12]","[11, 0, 16, 11]","[0, 13, 12, 10]","[0, 0, 10, 12]","[11, 12, 12, 0]","[12, 12, 0, 10]","[0, 0, 10, 11]","[11, 10, 11, 0]","[10, 0, 10, 10]","[10, 11, 10, 0]","[0, 11, 10, 10]","[10, 11, 10, 0]","[10, 0, 0, 0]","[12, 10, 11, 0]","[0, 11, 0, 0]","[11, 13, 10, 0]","[11, 11, 0, 0]","[0, 0, 0, 15]","[0, 0, 11, 0]"
1980,2,145,190,96,144,0,"[14, 13, 10, 0]","[10, 11, 0, 13]","[12, 14, 12, 0]","[11, 12, 10, 0]","[12, 0, 10, 0]","[12, 12, 10, 0]","[0, 12, 10, 10]","[0, 11, 10, 0]","[10, 11, 11, 10]","[10, 0, 10, 10]","[11, 0, 10, 11]","[10, 11, 11, 0]","[0, 0, 13, 0]","[0, 12, 12, 10]","[11, 12, 11, 0]","[0, 0, 0, 10]","[11, 0, 15, 11]","[10, 0, 12, 0]","[0, 14, 13, 11]"
1981,0,126,89,114,138,1,"[0, 0, 0, 0]","[0, 10, 12, 0]","[12, 13, 0, 12]","[0, 0, 12, 0]","[12, 10, 0, 11]","[10, 10, 0, 12]","[0, 0, 0, 10]","[10, 10, 0, 13]","[10, 0, 10, 10]","[10, 0, 10, 11]","[10, 0, 11, 11]","[10, 10, 11, 0]","[10, 12, 11, 0]","[10, 0, 0, 0]","[10, 0, 0, 10]","[11, 13, 0, 0]","[0, 12, 0, 14]","[0, 12, 0, 0]","[13, 14, 12, 0]"
1982,1,158,69,92,121,2,"[0, 10, 0, 13]","[12, 14, 13, 0]","[12, 0, 0, 0]","[10, 15, 10, 0]","[0, 11, 12, 12]","[0, 0, 0, 12]","[0, 11, 0, 0]","[0, 10, 11, 0]","[10, 0, 0, 10]","[11, 10, 0, 10]","[11, 10, 10, 0]","[10, 10, 0, 0]","[11, 10, 0, 0]","[13, 0, 0, 10]","[11, 11, 0, 0]","[0, 0, 0, 0]","[0, 10, 0, 0]","[10, 13, 0, 13]","[0, 13, 13, 12]"
1983,2,101,131,75,124,3,"[0, 15, 12, 0]","[0, 0, 10, 0]","[0, 0, 11, 0]","[0, 15, 10, 12]","[0, 0, 13, 0]","[11, 0, 12, 11]","[11, 10, 0, 10]","[11, 0, 0, 0]","[10, 10, 10, 0]","[11, 10, 10, 0]","[10, 10, 0, 10]","[11, 10, 0, 10]","[10, 0, 0, 0]","[12, 0, 11, 10]","[14, 10, 11, 0]","[0, 0, 10, 0]","[0, 0, 11, 0]","[13, 0, 0, 12]","[0, 11, 0, 0]"
1984,2,113,154,105,110,0,"[0, 0, 11, 15]","[10, 0, 10, 0]","[0, 0, 12, 13]","[0, 0, 12, 0]","[0, 12, 10, 0]","[0, 11, 11, 12]","[10, 10, 0, 13]","[10, 0, 11, 10]","[0, 10, 10, 12]","[10, 0, 10, 10]","[11, 11, 0, 10]","[0, 0, 0, 0]","[10, 0, 12, 10]","[0, 0, 11, 0]","[0, 10, 0, 0]","[10, 15, 11, 0]","[11, 13, 12, 0]","[15, 11, 11, 0]","[13, 10, 0, 0]"
1985,1,169,116,103,142,1,"[0, 12, 0, 11]","[13, 0, 0, 0]","[0, 13, 10, 13]","[0, 0, 0, 0]","[14, 11, 11, 0]","[0, 10, 11, 0]","[11, 13, 0, 10]","[0, 10, 10, 0]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 11, 10]","[10, 10, 0, 13]","[0, 10, 11, 11]","[10, 0, 10, 0]","[10, 10, 0, 0]","[14, 11, 0, 12]","[15, 12, 11, 0]","[0, 15, 11, 11]","[15, 12, 0, 12]"
1986,1,142,117,117,124,2,"[12, 0, 0, 0]","[13, 10, 0, 0]","[10, 0, 0, 10]","[0, 11, 0, 14]","[0, 13, 11, 11]","[0, 12, 13, 10]","[0, 10, 12, 10]","[0, 11, 11, 10]","[11, 0, 11, 10]","[10, 10, 10, 0]","[10, 10, 0, 0]","[11, 0, 0, 10]","[12, 10, 0, 11]","[0, 0, 13, 0]","[12, 11, 11, 0]","[0, 12, 13, 11]","[0, 0, 12, 10]","[10, 11, 0, 0]","[13, 11, 0, 0]"
