seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
20139,0,122,129,109,139,3,"[11, 0, 0, 0]","[10, 14, 0, 11]","[11, 13, 0, 12]","[0, 0, 14, 0]","[14, 10, 0, 12]","[11, 12, 11, 0]","[0, 0, 11, 10]","[13, 10, 10, 0]","[10, 10, 0, 10]","[10, 0, 10, 10]","[0, 11, 10, 11]","[0, 11, 12, 10]","[0, 10, 0, 0]","[11, 10, 0, 0]","[0, 0, 12, 11]","[13, 0, 0, 0]","[11, 0, 14, 12]","[14, 11, 11, 0]","[0, 0, 14, 0]"
20140,0,103,144,80,151,0,"[12, 0, 12, 0]","[12, 0, 11, 15]","[11, 13, 12, 0]","[0, 0, 14, 0]","[12, 12, 10, 0]","[0, 0, 0, 0]","[11, 0, 0, 0]","[10, 10, 0, 12]","[10, 10, 10, 0]","[10, 0, 10, 10]","[10, 11, 0, 0]","[11, 0, 12, 10]","[10, 11, 0, 10]","[0, 12, 10, 11]","[0, 0, 11, 0]","[0, 12, 10, 12]","[11, 0, 0, 0]","[10, 0, 10, 0]","[11, 12, 12, 0]"
20141,0,135,128,86,160,1,"[0, 14, 12, 12]","[0, 13, 0, 0]","[0, 0, 10, 13]","[11, 11, 14, 0]","[15, 0, 0, 11]","[0, 10, 10, 10]","[10, 11, 11, 0]","[10, 0, 10, 0]","[11, 11, 10, 0]","[10, 0, 10, 10]","[10, 10, 12, 0]","[10, 11, 0, 10]","[13, 0, 0, 0]","[12, 0, 0, 0]","[0, 10, 0, 0]","[10, 11, 14, 0]","[12, 12, 0, 10]","[12, 0, 15, 10]","[14, 11, 0, 0]"
20142,1,135,122,77,125,2,"[0, 13, 0, 12]","[11, 0, 15, 0]","[11, 0, 0, 0]","[13, 0, 0, 0]","[10, 11, 0, 0]","[0, 12, 10, 10]","[11, 0, 12, 11]","[0, 11, 10, 0]","[0, 10, 10, 0]","[10, 10, 0, 10]","[0, 10, 10, 10]","[12, 11, 10, 0]","[0, 12, 10, 0]","[11, 0, 10, 12]","[12, 10, 14, 0]","[0, 13, 0, 0]","[13, 0, 11, 0]","[11, 0, 0, 0]","[0, 12, 0, 12]"
20143,0,132,131,123,139,3,"[0, 13, 14, 11]","[0, 11, 12, 0]","[14, 11, 0, 13]","[12, 0, 0, 0]","[12, 10, 0, 0]","[11, 11, 0, 13]","[11, 10, 0, 0]","[13, 0, 10, 10]","[10, 0, 12, 10]","[10, 11, 10, 0]","[0, 11, 10, 10]","[11, 0, 10, 12]","[0, 0, 14, 10]","[11, 11, 11, 0]","[0, 11, 14, 11]","[11, 0, 0, 0]","[0, 0, 0, 11]","[0, 11, 0, 12]","[13, 11, 14, 0]"
20144,2,123,181,130,122,0,"[0, 13, 12, 0]","[12, 0, 14, 11]","[10, 0, 14, 12]","[10, 0, 11, 12]","[12, 0, 13, 11]","[0, 11, 12, 10]","[0, 0, 0, 10]","[10, 10, 12, 0]","[11, 11, 10, 0]","[10, 0, 10, 10]","[10, 11, 11, 10]","[0, 10, 12, 11]","[0, 10, 12, 11]","[0, 10, 0, 0]","[11, 10, 12, 0]","[0, 0, 0, 11]","[10, 14, 14, 0]","[0, 13, 12, 11]","[16, 0, 0, 0]"
20145,1,158,113,75,152,1,"[14, 0, 11, 0]","[12, 15, 11, 0]","[13, 12, 0, 11]","[0, 12, 12, 0]","[13, 11, 0, 11]","[10, 11, 0, 11]","[12, 11, 0, 11]","[10, 12, 11, 0]","[0, 11, 11, 10]","[11, 10, 10, 0]","[11, 10, 10, 0]","[0, 0, 11, 0]","[10, 10, 0, 0]","[0, 10, 12, 10]","[0, 0, 0, 11]","[11, 0, 0, 0]","[12, 10, 0, 0]","[13, 0, 0, 0]","[0, 13, 14, 0]"
20146,0,138,87,112,140,2,"[13, 11, 0, 13]","[12, 0, 0, 0]","[0, 0, 0, 0]","[12, 0, 12, 12]","[0, 13, 11, 11]","[12, 10, 12, 0]","[0, 11, 10, 0]","[12, 10, 0, 10]","[12, 10, 10, 10]","[10, 11, 0, 10]","[11, 10, 10, 0]","[0, 10, 0, 0]","[11, 0, 10, 12]","[0, 11, 12, 11]","[0, 10, 0, 0]","[10, 10, 0, 0]","[0, 0, 0, 11]","[13, 11, 0, 12]","[12, 0, 0, 0]"
20147,1,174,161,81,157,3,"[13, 10, 15, 0]","[12, 12, 12, 0]","[11, 12, 14, 0]","[11, 15, 0, 11]","[0, 12, 10, 0]","[10, 11, 0, 14]","[10, 10, 10, 0]","[11, 11, 10, 0]","[10, 0, 12, 10]","[10, 10, 11, 0]","[0, 0, 0, 11]","[10, 10, 11, 0]","[0, 0, 10, 0]","[0, 0, 11, 0]","[0, 12, 12, 11]","[12, 10, 0, 11]","[13, 12, 13, 0]","[10, 16, 10, 0]","[14, 11, 0, 13]"
20148,3,124,118,173,77,0,"[0, 12, 0, 12]","[0, 11, 0, 0]","[0, 10, 0, 10]","[13, 0, 10, 10]","[0, 11, 11, 12]","[0, 0, 11, 10]","[0, 12, 10, 12]","[11, 0, 10, 0]","[11, 0, 10, 10]","[10, 10, 0, 10]","[0, 11, 10, 10]","[10, 0, 10, 11]","[10, 0, 11, 0]","[0, 0, 10, 11]","[0, 12, 0, 10]","[12, 12, 0, 12]","[0, 0, 0, 10]","[0, 11, 15, 11]","[0, 12, 0, 12]"
20149,2,90,146,123,136,1,"[14, 0, 12, 0]","[0, 0, 14, 0]","[0, 0, 0, 10]","[0, 12, 11, 0]","[0, 11, 0, 11]","[12, 0, 10, 0]","[11, 11, 11, 0]","[10, 11, 0, 12]","[0, 10, 11, 11]","[10, 0, 10, 10]","[0, 11, 10, 0]","[0, 0, 10, 10]","[11, 0, 11, 12]","[11, 13, 0, 11]","[10, 0, 13, 12]","[11, 11, 12, 0]","[14, 0, 0, 11]","[11, 0, 11, 13]","[11, 0, 0, 0]"
20150,2,102,148,97,120,2,"[0, 12, 0, 0]","[13, 0, 0, 0]","[11, 0, 12, 12]","[14, 12, 0, 11]","[0, 11, 10, 0]","[10, 12, 13, 0]","[10, 0, 11, 10]","[10, 11, 10, 0]","[10, 0, 10, 10]","[0, 10, 10, 11]","[10, 0, 11, 10]","[0, 10, 10, 0]","[0, 0, 0, 11]","[0, 0, 0, 11]","[12, 0, 11, 11]","[10, 11, 0, 0]","[0, 0, 14, 0]","[10, 13, 14, 0]","[0, 0, 12, 0]"
20151,1,176,166,135,103,3,"[13, 12, 13, 12]","[0, 11, 15, 0]","[0, 0, 10, 0]","[13, 0, 12, 0]","[11, 12, 0, 12]","[11, 12, 0, 11]","[0, 10, 11, 12]","[10, 10, 10, 0]","[0, 10, 0, 0]","[11, 10, 10, 0]","[0, 10, 10, 11]","[10, 0, 0, 11]","[0, 10, 10, 10]","[0, 12, 12, 10]","[0, 10, 13, 11]","[0, 11, 12, 11]","[0, 12, 13, 12]","[12, 13, 0, 12]","[12, 11, 15, 0]"
20152,0,138,108,103,142,0,"[13, 0, 0, 0]","[11, 11, 0, 16]","[0, 0, 0, 13]","[11, 11, 11, 0]","[0, 10, 0, 0]","[0, 10, 13, 11]","[11, 10, 0, 10]","[10, 0, 0, 0]","[11, 10, 11, 0]","[0, 11, 10, 10]","[10, 12, 10, 0]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 11, 12, 0]","[0, 0, 11, 0]","[13, 0, 10, 0]","[0, 14, 0, 12]","[10, 12, 0, 0]","[12, 16, 0, 11]"
20153,0,118,174,107,181,1,"[13, 0, 12, 0]","[0, 10, 12, 0]","[11, 0, 11, 10]","[12, 12, 13, 0]","[11, 0, 13, 10]","[10, 10, 0, 10]","[11, 11, 0, 12]","[10, 0, 0, 0]","[0, 11, 11, 10]","[10, 10, 10, 0]","[10, 0, 11, 10]","[10, 10, 11, 0]","[11, 0, 10, 12]","[10, 10, 12, 0]","[11, 0, 13, 10]","[11, 13, 0, 13]","[13, 0, 12, 0]","[0, 11, 13, 10]","[17, 10, 10, 0]"
20154,1,146,108,113,142,2,"[0, 0, 0, 0]","[0, 0, 0, 13]","[11, 0, 10, 10]","[0, 13, 11, 12]","[10, 0, 0, 10]","[12, 0, 11, 10]","[11, 12, 10, 0]","[10, 11, 10, 0]","[11, 10, 10, 11]","[11, 10, 0, 10]","[10, 10, 10, 0]","[0, 10, 0, 0]","[11, 0, 0, 0]","[13, 11, 10, 0]","[11, 12, 0, 11]","[10, 12, 0, 0]","[0, 12, 14, 12]","[11, 11, 0, 14]","[0, 12, 12, 0]"
