gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
26,0,9,10,1.01,True,1000,True,0,1,0,1
26,1,9,10,1.01,False,0,True,0,4,6,1
26,2,9,10,1.01,False,0,True,12,2,2,1
26,3,9,10,1.01,False,0,True,0,2,3,1
27,0,9,10,1.01,True,1000,True,12,2,2,3
27,1,9,10,1.01,False,0,True,0,1,2,3
27,2,9,10,1.01,False,0,True,0,3,2,3
27,3,9,10,1.01,False,0,True,0,3,5,3
28,0,9,10,1.01,True,1000,True,0,3,5,0
28,1,9,10,1.01,False,0,True,12,2,2,0
28,2,9,10,1.01,False,0,True,0,2,1,0
28,3,9,10,1.01,False,0,True,12,2,2,0
29,0,9,10,1.01,True,1000,True,11,1,1,0
29,1,9,10,1.01,False,0,True,11,1,1,0
29,2,9,10,1.01,False,0,True,13,3,3,0
29,3,9,10,1.01,False,0,True,0,4,5,0
30,0,9,10,1.01,True,1000,True,13,3,3,2
30,1,9,10,1.01,False,0,True,0,2,3,2
30,2,9,10,1.01,False,0,True,0,3,4,2
30,3,9,10,1.01,False,0,True,11,1,1,2
31,0,9,10,1.01,True,1000,True,0,1,3,0
31,1,9,10,1.01,False,0,True,0,2,1,0
31,2,9,10,1.01,False,0,True,0,3,4,0
31,3,9,10,1.01,False,0,True,0,3,2,0
32,0,9,10,1.01,True,1000,True,12,2,2,0
32,1,9,10,1.01,False,0,True,11,1,1,0
32,2,9,10,1.01,False,0,True,0,3,5,0
32,3,9,10,1.01,False,0,True,0,3,2,0
33,0,9,10,1.01,True,1000,True,12,2,2,1
33,1,9,10,1.01,False,0,True,0,2,3,1
33,2,9,10,1.01,False,0,True,0,1,3,1
33,3,9,10,1.01,False,0,True,0,4,2,1
34,0,9,10,1.01,True,1000,True,14,4,4,2
34,1,9,10,1.01,False,0,True,0,2,0,2
34,2,9,10,1.01,False,0,True,0,3,5,2
34,3,9,10,1.01,False,0,True,0,0,1,2
35,0,9,10,1.01,True,1000,True,0,1,0,2
35,1,9,10,1.01,False,0,True,0,1,3,2
35,2,9,10,1.01,False,0,True,0,4,2,2
35,3,9,10,1.01,False,0,True,13,3,3,2
36,0,9,10,1.01,True,1000,True,0,3,4,2
36,1,9,10,1.01,False,0,True,0,3,2,2
36,2,9,10,1.01,False,0,True,0,2,0,2
36,3,9,10,1.01,False,0,True,0,1,2,2
37,0,9,10,1.01,True,1000,True,13,3,3,0
37,1,9,10,1.01,False,0,True,12,2,2,0
37,2,9,10,1.01,False,0,True,0,3,2,0
37,3,9,10,1.01,False,0,True,0,1,3,0
38,0,9,10,1.01,True,1000,True,0,3,2,3
38,1,9,10,1.01,False,0,True,0,0,2,3
38,2,9,10,1.01,False,0,True,12,2,2,3
38,3,9,10,1.01,False,0,True,14,4,4,3
